"","row_id","id","sex","species","Status","date","time","date_time","temp","x","y","Habitat_type"
"63",63,"Akward","M","spotted","Valid",2018-05-07,"06:00:0",2018-05-07 06:00:00,7,-43.5391250621178,801.36151062604,"Meadow marsh"
"64",64,"Akward","M","spotted","Valid",2018-05-07,"16:00:0",2018-05-07 16:00:00,29,-52.8240250621457,780.357510626316,"Cattail"
"65",65,"Akward","M","spotted","Valid",2018-05-07,"19:00:0",2018-05-07 19:00:00,22.5,-57.037225062144,771.516510626301,"Cattail"
"66",66,"Akward","M","spotted","Valid",2018-05-07,"14:00:0",2018-05-07 14:00:00,31.5,-51.0957250621286,788.113510626368,"Phragmites"
"67",67,"Akward","M","spotted","Valid",2018-05-07,"01:00:0",2018-05-07 01:00:00,12.5,-49.3334250621265,799.200510625727,"Cattail"
"68",68,"Akward","M","spotted","Valid",2018-05-07,"12:00:0",2018-05-07 12:00:00,14.5,-48.6787250621128,782.536510625854,"Cattail"
"69",69,"Akward","M","spotted","Valid",2018-05-07,"13:00:0",2018-05-07 13:00:00,23,-47.8655250621377,781.417510625906,"Cattail"
"70",70,"Akward","M","spotted","Valid",2018-05-07,"15:00:0",2018-05-07 15:00:00,26,-47.8315250620944,784.748510626145,"Phragmites"
"71",71,"Akward","M","spotted","Valid",2018-05-07,"05:00:0",2018-05-07 05:00:00,8,-47.6278250621399,804.735510625876,"Meadow marsh"
"72",72,"Akward","M","spotted","Valid",2018-05-07,"04:00:0",2018-05-07 04:00:00,9,-43.5504250621307,800.251510626636,"Meadow marsh"
"73",73,"Akward","M","spotted","Valid",2018-05-07,"23:00:0",2018-05-07 23:00:00,22,-41.1787250621128,790.23351062648,"Meadow marsh"
"74",74,"Akward","M","spotted","Valid",2018-05-07,"02:00:0",2018-05-07 02:00:00,10.5,-40.2410250621033,801.328510626219,"Phragmites"
"75",75,"Akward","M","spotted","Valid",2018-05-07,"22:00:0",2018-05-07 22:00:00,28,-39.5863250620896,784.664510626346,"Meadow marsh"
"76",76,"Akward","M","spotted","Valid",2018-05-07,"21:00:0",2018-05-07 21:00:00,31.5,-38.6712250621058,793.539510626346,"Phragmites"
"77",77,"Akward","M","spotted","Valid",2018-05-07,"07:00:0",2018-05-07 07:00:00,5.5,-38.5240250620991,807.973510625772,"Meadow marsh"
"78",78,"Akward","M","spotted","Valid",2018-05-07,"20:00:1",2018-05-07 20:00:01,36.5,-36.2316250621225,790.182510626502,"Phragmites"
"79",79,"Akward","M","spotted","Valid",2018-05-07,"03:00:0",2018-05-07 03:00:00,10.5,-31.9957250620937,801.24451062642,"Meadow marsh"
